market_name,median_avg_prices_15days,assets.descriptions,assets.type
AK-47 | Head Shot (Minimal Wear),"[['Jun 12 2023', 152.76505882352944, 31], ['Jun 13 2023', 153.26962499999996, 24], ['Jun 14 2023', 154.4858125, 31], ['Jun 15 2023', 151.88893333333334, 33], ['Jun 16 2023', 150.55005, 42], ['Jun 17 2023', 145.80978947368422, 44], ['Jun 18 2023', 142.0094090909091, 46], ['Jun 19 2023', 136.2355238095238, 50], ['Jun 20 2023', 131.23577777777777, 39], ['Jun 21 2023', 132.8486, 30], ['Jun 22 2023', 135.32995652173915, 40], ['Jun 23 2023', 136.93457894736844, 35], ['Jun 24 2023', 125.76415789473685, 45], ['Jun 25 2023', 128.08376470588237, 40], ['Jun 26 2023', 125.88379999999998, 26]]","[{'type': 'html', 'value': 'Exterior: Minimal Wear'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a ""HEAD SHOT GUN"" graffiti and finished with pearlescent coating.\n\n<i>Everyone has goals, but are you willing to put in the work to achieve them? - Booth, Arms Dealer</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Revolution Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Head Shot (Field-Tested),"[['Jun 12 2023', 80.01795454545454, 63], ['Jun 13 2023', 81.0145909090909, 74], ['Jun 14 2023', 80.12783333333336, 89], ['Jun 15 2023', 79.32541666666667, 87], ['Jun 16 2023', 78.8005, 101], ['Jun 17 2023', 78.01520833333333, 101], ['Jun 18 2023', 75.885625, 113], ['Jun 19 2023', 74.4995, 83], ['Jun 20 2023', 71.68518181818183, 92], ['Jun 21 2023', 68.92734782608696, 97], ['Jun 22 2023', 69.7673043478261, 74], ['Jun 23 2023', 67.03381818181818, 107], ['Jun 24 2023', 64.91781818181819, 106], ['Jun 25 2023', 64.95063636363638, 88], ['Jun 26 2023', 63.081105263157895, 79]]","[{'type': 'html', 'value': 'Exterior: Field-Tested'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a ""HEAD SHOT GUN"" graffiti and finished with pearlescent coating.\n\n<i>Everyone has goals, but are you willing to put in the work to achieve them? - Booth, Arms Dealer</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Revolution Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Head Shot (Well-Worn),"[['Jun 12 2023', 43.926272727272725, 51], ['Jun 13 2023', 44.60277272727272, 63], ['Jun 14 2023', 43.542227272727274, 68], ['Jun 15 2023', 43.49468181818181, 60], ['Jun 16 2023', 42.781458333333326, 72], ['Jun 17 2023', 43.297000000000004, 61], ['Jun 18 2023', 41.2595652173913, 83], ['Jun 19 2023', 40.72991304347826, 83], ['Jun 20 2023', 39.9104090909091, 67], ['Jun 21 2023', 38.90517391304348, 71], ['Jun 22 2023', 38.02771428571429, 76], ['Jun 23 2023', 36.394, 101], ['Jun 24 2023', 37.19163636363636, 82], ['Jun 25 2023', 35.85613636363637, 81], ['Jun 26 2023', 36.40135, 71]]","[{'type': 'html', 'value': 'Exterior: Well-Worn'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a ""HEAD SHOT GUN"" graffiti and finished with pearlescent coating.\n\n<i>Everyone has goals, but are you willing to put in the work to achieve them? - Booth, Arms Dealer</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Revolution Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Head Shot (Battle-Scarred),"[['Jun 12 2023', 26.969714285714286, 64], ['Jun 13 2023', 27.121181818181814, 56], ['Jun 14 2023', 25.77614285714286, 64], ['Jun 15 2023', 25.33385714285715, 83], ['Jun 16 2023', 26.494217391304346, 75], ['Jun 17 2023', 26.090173913043476, 68], ['Jun 18 2023', 26.653052631578948, 58], ['Jun 19 2023', 26.637, 60], ['Jun 20 2023', 26.191999999999997, 63], ['Jun 21 2023', 26.527789473684216, 63], ['Jun 22 2023', 26.992333333333335, 58], ['Jun 23 2023', 25.148826086956525, 90], ['Jun 24 2023', 22.762863636363633, 76], ['Jun 25 2023', 22.4351, 67], ['Jun 26 2023', 22.33504347826086, 81]]","[{'type': 'html', 'value': 'Exterior: Battle-Scarred'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a ""HEAD SHOT GUN"" graffiti and finished with pearlescent coating.\n\n<i>Everyone has goals, but are you willing to put in the work to achieve them? - Booth, Arms Dealer</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Revolution Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': '<br><div id=""sticker_info"" name=""sticker_info"" title=""Sticker"" style=""border: 2px solid rgb(102, 102, 102); border-radius: 6px; width=100; margin:4px; padding:8px;""><center><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_maden.6e39fbbb2c028e82468e3b2beeb47edf4af7302e.png""><br>Sticker: maden | Antwerp 2022</center></div>'}]",Covert Rifle
AK-47 | Nightwish (Factory New),"[['Jun 12 2023', 176.554375, 10], ['Jun 13 2023', 191.1715714285714, 7], ['Jun 14 2023', 178.68500000000003, 6], ['Jun 15 2023', 177.43000000000004, 11], ['Jun 16 2023', 184.8218, 13], ['Jun 17 2023', 192.48712500000002, 11], ['Jun 18 2023', 195.67133333333334, 9], ['Jun 19 2023', 180.36766666666668, 4], ['Jun 20 2023', 178.74799999999996, 8], ['Jun 21 2023', 181.6875, 7], ['Jun 22 2023', 185.87779999999998, 5], ['Jun 23 2023', 178.3078, 5], ['Jun 24 2023', 168.30954545454546, 14], ['Jun 25 2023', 168.3148, 8], ['Jun 26 2023', 165.746, 4]]","[{'type': 'html', 'value': 'Exterior: Factory New'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': ""Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a deer and dreamcatchers in neon colors and finished with a pearlescent effect.\n\n<i>I've been saving this for a special occasion... – Booth, Arms Dealer</i>""}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Dreams & Nightmares Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Nightwish (Minimal Wear),"[['Jun 12 2023', 60.03990476190476, 72], ['Jun 13 2023', 59.70900000000001, 65], ['Jun 14 2023', 58.97976190476191, 65], ['Jun 15 2023', 60.048545454545454, 89], ['Jun 16 2023', 59.23770833333333, 85], ['Jun 17 2023', 59.15165217391304, 79], ['Jun 18 2023', 59.398875, 70], ['Jun 19 2023', 57.49054545454545, 54], ['Jun 20 2023', 58.14309999999999, 70], ['Jun 21 2023', 57.98933333333335, 52], ['Jun 22 2023', 57.54995454545454, 77], ['Jun 23 2023', 57.13265217391303, 92], ['Jun 24 2023', 56.001608695652166, 86], ['Jun 25 2023', 54.5905, 86], ['Jun 26 2023', 54.58435000000001, 63]]","[{'type': 'html', 'value': 'Exterior: Minimal Wear'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': ""Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a deer and dreamcatchers in neon colors and finished with a pearlescent effect.\n\n<i>I've been saving this for a special occasion... – Booth, Arms Dealer</i>""}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Dreams & Nightmares Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Nightwish (Field-Tested),"[['Jun 12 2023', 27.014478260869563, 202], ['Jun 13 2023', 26.43504347826087, 203], ['Jun 14 2023', 26.037958333333336, 243], ['Jun 15 2023', 26.16629166666667, 242], ['Jun 16 2023', 25.653041666666663, 218], ['Jun 17 2023', 25.927874999999997, 234], ['Jun 18 2023', 25.960916666666673, 241], ['Jun 19 2023', 26.034791666666667, 187], ['Jun 20 2023', 25.439499999999995, 182], ['Jun 21 2023', 25.414, 222], ['Jun 22 2023', 25.257869565217394, 249], ['Jun 23 2023', 24.41013043478261, 331], ['Jun 24 2023', 24.18673913043478, 265], ['Jun 25 2023', 23.661608695652177, 285], ['Jun 26 2023', 22.645347826086955, 253]]","[{'type': 'html', 'value': 'Exterior: Field-Tested'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': ""Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a deer and dreamcatchers in neon colors and finished with a pearlescent effect.\n\n<i>I've been saving this for a special occasion... – Booth, Arms Dealer</i>""}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Dreams & Nightmares Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Nightwish (Well-Worn),"[['Jun 12 2023', 18.73990909090909, 164], ['Jun 13 2023', 18.913409090909088, 177], ['Jun 14 2023', 18.83879166666667, 204], ['Jun 15 2023', 18.46879166666667, 211], ['Jun 16 2023', 18.713291666666667, 172], ['Jun 17 2023', 18.184625, 206], ['Jun 18 2023', 18.600124999999995, 199], ['Jun 19 2023', 18.634304347826088, 150], ['Jun 20 2023', 17.92131818181818, 154], ['Jun 21 2023', 18.31191304347826, 175], ['Jun 22 2023', 17.93447826086956, 162], ['Jun 23 2023', 17.156304347826087, 283], ['Jun 24 2023', 16.775652173913045, 210], ['Jun 25 2023', 16.966565217391302, 187], ['Jun 26 2023', 16.763391304347827, 186]]","[{'type': 'html', 'value': 'Exterior: Well-Worn'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': ""Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a deer and dreamcatchers in neon colors and finished with a pearlescent effect.\n\n<i>I've been saving this for a special occasion... – Booth, Arms Dealer</i>""}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Dreams & Nightmares Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Nightwish (Battle-Scarred),"[['Jun 12 2023', 10.213521739130433, 219], ['Jun 13 2023', 10.331260869565217, 186], ['Jun 14 2023', 10.289625000000001, 211], ['Jun 15 2023', 10.130695652173912, 232], ['Jun 16 2023', 10.166166666666667, 234], ['Jun 17 2023', 10.247583333333333, 211], ['Jun 18 2023', 10.258541666666668, 189], ['Jun 19 2023', 10.356750000000002, 187], ['Jun 20 2023', 10.329863636363639, 196], ['Jun 21 2023', 10.42691304347826, 163], ['Jun 22 2023', 10.462000000000002, 177], ['Jun 23 2023', 10.133043478260872, 297], ['Jun 24 2023', 9.918608695652175, 230], ['Jun 25 2023', 9.67986956521739, 252], ['Jun 26 2023', 9.863043478260868, 192]]","[{'type': 'html', 'value': 'Exterior: Battle-Scarred'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': ""Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a deer and dreamcatchers in neon colors and finished with a pearlescent effect.\n\n<i>I've been saving this for a special occasion... – Booth, Arms Dealer</i>""}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Dreams & Nightmares Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Leet Museo (Factory New),"[['Jun 12 2023', 82.33166666666666, 3], ['Jun 13 2023', 79.22057142857143, 7], ['Jun 14 2023', 77.24, 1], ['Jun 15 2023', 76.3625, 4], ['Jun 16 2023', 84.72585714285715, 11], ['Jun 17 2023', 88.7235, 2], ['Jun 18 2023', 85.32716666666666, 6], ['Jun 19 2023', 82.72766666666666, 7], ['Jun 20 2023', 82.89, 4], ['Jun 21 2023', 81.87616666666666, 9], ['Jun 22 2023', 89.31314285714284, 9], ['Jun 23 2023', 81.50614285714288, 8], ['Jun 24 2023', 77.3278, 5], ['Jun 25 2023', 76.86366666666667, 18], ['Jun 26 2023', 70.73525, 5]]","[{'type': 'html', 'value': 'Exterior: Factory New'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a Cubism depiction of Elite Crew Ts sneaking up A-long on Dust II.\n\n<i>""Everything you can imagine is real""</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Operation Riptide Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
